W / cm-1,R Gamma,R Delta,W / cm-1,Eps KKG Gamma Real,Eps KKG Gamma Imag,Eps KKG Delta Real,Eps KKG Delta Imag,W / cm-1,Eps Fit Gamma Real,Eps Fit Gamma Imag,Eps Fit Delta Real,Eps Fit Delta Imag
470.6056,0.08697,0.07346,472.534,5.12946,8.03149,5.14311,7.78806,386.1931,5.40689,7.23106,5.17855,6.87129
472.5343,0.08768,0.0735,474.463,5.08238,8.12938,5.15324,7.90613,388.1941,5.36221,7.19064,5.15547,6.8054
474.463,0.08846,0.0744,476.392,5.01375,8.25946,5.08846,8.04774,390.1951,5.32159,7.15003,5.13977,6.7421
476.3917,0.0895,0.07538,478.32,4.89788,8.37359,5.00419,8.10993,392.1961,5.28504,7.10952,5.13085,6.68208
478.3204,0.09037,0.07575,480.249,4.78087,8.42041,4.94957,8.21024,394.1971,5.25255,7.0694,5.12808,6.62592
480.2491,0.09068,0.07645,482.178,4.71143,8.46266,4.84218,8.35394,396.1981,5.22409,7.02998,5.13083,6.57407
482.1778,0.091,0.07744,484.107,4.64979,8.56643,4.68183,8.4144,398.1991,5.1996,6.99154,5.13844,6.52686
484.1066,0.09187,0.07778,486.035,4.52919,8.69809,4.56964,8.39605,400.2001,5.17901,6.95437,5.1503,6.48455
486.0353,0.09297,0.07757,487.964,4.35936,8.76607,4.52361,8.41094,402.2011,5.16223,6.91878,5.16582,6.44731
487.964,0.09353,0.07766,489.893,4.22541,8.75425,4.48778,8.47525,404.2021,5.14915,6.88502,5.18442,6.41525
489.8927,0.09342,0.07814,491.821,4.15545,8.76377,4.45,8.55614,406.2031,5.13962,6.85339,5.2056,6.38841
491.8214,0.09351,0.07875,493.75,4.09207,8.83547,4.38769,8.70366,408.2041,5.13352,6.82414,5.22885,6.36681
493.7501,0.09416,0.07987,495.679,3.99173,8.93065,4.22463,8.87861,410.2051,5.13066,6.79754,5.25374,6.35041
495.6788,0.09504,0.0812,497.608,3.8532,9.01389,4.01737,8.91508,412.2061,5.13086,6.77383,5.27983,6.33917
